고객ID,타사이전금액,혜택금액
R08-00000,45900000,150000
R08-00001,65560000,150000
R08-00002,38700000,150000
R08-00003,42000000,150000
R08-00004,3120000,0
R08-00005,53400000,150000
R08-00006,16220000,40000
R08-00007,31590000,60000
R08-00008,64260000,150000
R08-00009,32080000,60000
R08-00010,22180000,60000
R08-00011,12640000,40000
R08-00012,11330000,40000
R08-00013,5080000,20000
R08-00014,3990000,0
R08-00015,72780000,300000
R08-00016,42380000,150000
R08-00017,31320000,60000
R08-00018,62850000,150000
R08-00019,35560000,150000
R08-00020,12210000,40000
R08-00021,54070000,150000
R08-00022,77170000,300000
R08-00023,26900000,60000
R08-00024,77760000,300000
R08-00025,82090000,300000
R08-00026,12190000,40000
R08-00027,73010000,300000
R08-00028,100940000,300000
R08-00029,82770000,300000
R08-00030,62250000,150000
R08-00031,81840000,300000
R08-00032,70790000,300000
R08-00033,16250000,40000
R08-00034,12340000,40000
R08-00035,67990000,300000
R08-00036,23450000,60000
R08-00037,173310000,600000
R08-00038,95390000,300000
R08-00039,52850000,150000
R08-00040,143740000,600000
R08-00041,3460000,0
R08-00042,33470000,150000
R08-00043,57760000,150000
R08-00044,13020000,40000
R08-00045,36780000,150000
R08-00046,9270000,20000
R08-00047,93030000,300000
R08-00048,12450000,40000
R08-00049,14230000,40000
R08-00050,62920000,150000
R08-00051,81780000,300000
R08-00052,81080000,300000
R08-00053,1740000,0
R08-00054,52550000,150000
R08-00055,52540000,150000
R08-00056,33630000,150000
R08-00057,28480000,60000
R08-00058,1350000,0
R08-00059,31350000,60000
R08-00060,173050000,600000
R08-00061,41650000,150000
R08-00062,22130000,60000
R08-00063,51270000,150000
R08-00064,82170000,300000
R08-00065,4160000,0
R08-00066,3200000,0
R08-00067,62080000,150000
R08-00068,80350000,300000
R08-00069,15470000,40000
R08-00070,93780000,300000
R08-00071,34570000,150000
R08-00072,23280000,60000
R08-00073,44390000,150000
R08-00074,42730000,150000
R08-00075,50270000,150000
R08-00076,33770000,150000
R08-00077,1840000,0
R08-00078,34130000,150000
R08-00079,32910000,60000
R08-00080,7220000,20000
R08-00081,11790000,40000
R08-00082,61060000,150000
R08-00083,42110000,150000
R08-00084,23000000,60000
R08-00085,42930000,150000
R08-00086,42910000,150000
R08-00087,24510000,60000
R08-00088,2090000,0
R08-00089,4000000,0
R08-00090,23030000,60000
R08-00091,43490000,150000
R08-00092,3270000,0
R08-00093,41060000,150000
R08-00094,84130000,300000
R08-00095,4800000,0
R08-00096,38010000,150000
R08-00097,8340000,20000
R08-00098,22930000,60000
R08-00099,12360000,40000
R08-00100,18470000,40000
R08-00101,45760000,150000
R08-00102,34320000,150000
R08-00103,13490000,40000
R08-00104,51880000,150000
R08-00105,63290000,150000
R08-00106,25990000,60000
R08-00107,71490000,300000
R08-00108,20510000,60000
