고객ID,타사이전금액,혜택금액
R16-00000,110680000,300000
R16-00001,23020000,60000
R16-00002,24500000,60000
R16-00003,15060000,40000
R16-00004,26150000,60000
R16-00005,117290000,300000
R16-00006,57700000,150000
R16-00007,36200000,150000
R16-00008,45330000,150000
R16-00009,33090000,60000
R16-00010,2330000,0
R16-00011,72730000,300000
R16-00012,13680000,40000
R16-00013,97560000,300000
R16-00014,64190000,150000
R16-00015,11850000,40000
R16-00016,103150000,300000
R16-00017,25520000,60000
R16-00018,78460000,300000
R16-00019,31350000,60000
R16-00020,21770000,60000
R16-00021,110440000,300000
R16-00022,16150000,40000
R16-00023,42180000,150000
R16-00024,5280000,20000
R16-00025,61990000,150000
R16-00026,16590000,40000
R16-00027,32860000,60000
R16-00028,52730000,150000
R16-00029,1250000,0
R16-00030,177400000,600000
R16-00031,43920000,150000
R16-00032,103330000,300000
R16-00033,71920000,300000
R16-00034,81880000,300000
R16-00035,32290000,60000
R16-00036,32780000,60000
R16-00037,3060000,0
R16-00038,26930000,60000
R16-00039,35360000,150000
R16-00040,23140000,60000
R16-00041,159210000,600000
R16-00042,70640000,300000
R16-00043,13170000,40000
R16-00044,13840000,40000
R16-00045,31050000,60000
R16-00046,104710000,300000
R16-00047,2360000,0
R16-00048,17000000,40000
R16-00049,7070000,20000
R16-00050,2140000,0
R16-00051,63070000,150000
R16-00052,50380000,150000
R16-00053,45910000,150000
R16-00054,83160000,300000
R16-00055,67490000,300000
R16-00056,94640000,300000
R16-00057,71980000,300000
R16-00058,45670000,150000
R16-00059,45090000,150000
R16-00060,24510000,60000
R16-00061,45800000,150000
R16-00062,76270000,300000
R16-00063,66080000,150000
R16-00064,13740000,40000
R16-00065,11890000,40000
R16-00066,78040000,300000
R16-00067,42170000,150000
R16-00068,23340000,60000
R16-00069,121810000,300000
R16-00070,43330000,150000
R16-00071,7520000,20000
R16-00072,6180000,20000
R16-00073,93780000,300000
R16-00074,52380000,150000
R16-00075,51290000,150000
R16-00076,44970000,150000
R16-00077,5400000,20000
R16-00078,65780000,150000
R16-00079,26350000,60000
R16-00080,33360000,150000
R16-00081,15640000,40000
R16-00082,33270000,60000
R16-00083,43770000,150000
R16-00084,14410000,40000
R16-00085,65270000,150000
R16-00086,48920000,150000
R16-00087,45250000,150000
R16-00088,13510000,40000
R16-00089,24970000,60000
R16-00090,3150000,0
R16-00091,55850000,150000
R16-00092,136080000,600000
R16-00093,52250000,150000
R16-00094,35550000,150000
R16-00095,45930000,150000
R16-00096,111860000,300000
R16-00097,33290000,60000
R16-00098,64660000,150000
R16-00099,71870000,300000
R16-00100,68330000,300000
R16-00101,15330000,40000
R16-00102,62630000,150000
R16-00103,930000,0
R16-00104,21630000,60000
R16-00105,14140000,40000
R16-00106,4260000,0
R16-00107,1290000,0
R16-00108,1950000,0
R16-00109,13160000,40000
R16-00110,54530000,150000
R16-00111,32470000,60000
R16-00112,52740000,150000
R16-00113,57100000,150000
R16-00114,31980000,60000
R16-00115,63460000,150000
R16-00116,22840000,60000
R16-00117,21430000,60000
R16-00118,27220000,60000
R16-00119,90740000,300000
R16-00120,84980000,300000
R16-00121,82870000,300000
R16-00122,5400000,20000
R16-00123,15920000,40000
R16-00124,12980000,40000
R16-00125,31120000,60000
R16-00126,17220000,40000
R16-00127,8380000,20000
R16-00128,2590000,0
R16-00129,24940000,60000
R16-00130,11580000,40000
R16-00131,10260000,40000
R16-00132,92140000,300000
R16-00133,118740000,300000
R16-00134,2400000,0
R16-00135,62090000,150000
R16-00136,14290000,40000
R16-00137,25830000,60000
R16-00138,53710000,150000
R16-00139,61850000,150000
R16-00140,65710000,150000
