고객ID,타사이전금액,혜택금액
R04-00000,15100000,40000
R04-00001,83660000,300000
R04-00002,14000000,40000
R04-00003,12500000,40000
R04-00004,72170000,300000
R04-00005,102140000,300000
R04-00006,62890000,150000
R04-00007,16850000,40000
R04-00008,63420000,150000
R04-00009,61340000,150000
R04-00010,153060000,600000
R04-00011,23590000,60000
R04-00012,84820000,300000
R04-00013,102300000,300000
R04-00014,55270000,150000
R04-00015,28560000,60000
R04-00016,21650000,60000
R04-00017,91930000,300000
R04-00018,7720000,20000
R04-00019,43790000,150000
R04-00020,22550000,60000
R04-00021,85270000,300000
R04-00022,36500000,150000
R04-00023,84290000,300000
R04-00024,94440000,300000
R04-00025,14690000,40000
R04-00026,23330000,60000
R04-00027,95520000,300000
R04-00028,22640000,60000
R04-00029,22520000,60000
R04-00030,8090000,20000
R04-00031,36810000,150000
R04-00032,84540000,300000
R04-00033,15400000,40000
R04-00034,54770000,150000
R04-00035,55540000,150000
R04-00036,54670000,150000
R04-00037,28080000,60000
R04-00038,26420000,60000
R04-00039,24550000,60000
R04-00040,37820000,150000
R04-00041,24470000,60000
R04-00042,157930000,600000
R04-00043,53250000,150000
R04-00044,24240000,60000
R04-00045,42940000,150000
R04-00046,2070000,0
R04-00047,51770000,150000
R04-00048,64810000,150000
R04-00049,113120000,300000
R04-00050,61360000,150000
R04-00051,21940000,60000
R04-00052,54700000,150000
R04-00053,54820000,150000
R04-00054,42060000,150000
R04-00055,50440000,150000
R04-00056,56780000,150000
R04-00057,33640000,150000
R04-00058,61930000,150000
R04-00059,85590000,300000
R04-00060,43180000,150000
R04-00061,73370000,300000
R04-00062,58640000,150000
R04-00063,12270000,40000
R04-00064,13810000,40000
R04-00065,36700000,150000
R04-00066,15890000,40000
R04-00067,223350000,1000000
R04-00068,24050000,60000
R04-00069,31430000,60000
R04-00070,7470000,20000
R04-00071,1320000,0
R04-00072,46190000,150000
R04-00073,53680000,150000
R04-00074,33840000,150000
R04-00075,4880000,0
R04-00076,12090000,40000
R04-00077,22380000,60000
R04-00078,51800000,150000
R04-00079,54040000,150000
R04-00080,36290000,150000
R04-00081,62170000,150000
R04-00082,11800000,40000
R04-00083,52250000,150000
R04-00084,11230000,40000
R04-00085,74470000,300000
R04-00086,136910000,600000
R04-00087,23840000,60000
R04-00088,21790000,60000
R04-00089,36450000,150000
R04-00090,5050000,20000
R04-00091,75600000,300000
R04-00092,53490000,150000
R04-00093,14600000,40000
R04-00094,104110000,300000
R04-00095,45790000,150000
R04-00096,86250000,300000
R04-00097,24500000,60000
R04-00098,41760000,150000
R04-00099,4360000,0
R04-00100,33070000,60000
R04-00101,70620000,300000
R04-00102,22690000,60000
R04-00103,57280000,150000
R04-00104,13940000,40000
R04-00105,14850000,40000
R04-00106,62310000,150000
R04-00107,61990000,150000
R04-00108,43520000,150000
R04-00109,45160000,150000
R04-00110,26080000,60000
R04-00111,58800000,150000
R04-00112,22130000,60000
R04-00113,59580000,150000
R04-00114,21420000,60000
R04-00115,54710000,150000
R04-00116,52560000,150000
R04-00117,32690000,60000
R04-00118,5460000,20000
R04-00119,66980000,300000
R04-00120,73160000,300000
R04-00121,6910000,20000
R04-00122,33140000,60000
R04-00123,31450000,60000
R04-00124,83790000,300000
R04-00125,112560000,300000
R04-00126,64200000,150000
R04-00127,108380000,300000
R04-00128,45290000,150000
R04-00129,115860000,300000
R04-00130,30110000,60000
R04-00131,81790000,300000
R04-00132,72450000,300000
R04-00133,50720000,150000
R04-00134,82470000,300000
R04-00135,24710000,60000
R04-00136,6660000,20000
R04-00137,23670000,60000
R04-00138,16850000,40000
R04-00139,32090000,60000
R04-00140,50730000,150000
R04-00141,34700000,150000
R04-00142,44700000,150000
R04-00143,32750000,60000
R04-00144,76120000,300000
R04-00145,41750000,150000
R04-00146,32320000,60000
R04-00147,26850000,60000
R04-00148,24280000,60000
R04-00149,48030000,150000
R04-00150,51980000,150000
R04-00151,91070000,300000
R04-00152,92690000,300000
R04-00153,31370000,60000
R04-00154,48910000,150000
R04-00155,32350000,60000
R04-00156,73800000,300000
R04-00157,77460000,300000
R04-00158,3160000,0
R04-00159,64700000,150000
R04-00160,54400000,150000
R04-00161,11240000,40000
R04-00162,3350000,0
R04-00163,33880000,150000
R04-00164,2110000,0
R04-00165,40570000,150000
R04-00166,64990000,150000
R04-00167,8510000,20000
R04-00168,2040000,0
R04-00169,37400000,150000
R04-00170,63590000,150000
R04-00171,103640000,300000
R04-00172,34800000,150000
R04-00173,50500000,150000
R04-00174,62620000,150000
R04-00175,66170000,150000
R04-00176,78450000,300000
R04-00177,71690000,300000
R04-00178,31010000,60000
R04-00179,34170000,150000
R04-00180,8020000,20000
R04-00181,34100000,150000
R04-00182,1780000,0
R04-00183,82090000,300000
R04-00184,55640000,150000
R04-00185,27210000,60000
R04-00186,37490000,150000
R04-00187,17410000,40000
R04-00188,42580000,150000
R04-00189,25610000,60000
R04-00190,117040000,300000
R04-00191,64040000,150000
R04-00192,64740000,150000
R04-00193,25710000,60000
R04-00194,23320000,60000
R04-00195,61760000,150000
R04-00196,32700000,60000
R04-00197,32930000,60000
R04-00198,150670000,600000
R04-00199,1170000,0
R04-00200,114190000,300000
R04-00201,23750000,60000
R04-00202,14760000,40000
R04-00203,2060000,0
R04-00204,26790000,60000
R04-00205,64690000,150000
R04-00206,14220000,40000
R04-00207,24320000,60000
R04-00208,44440000,150000
R04-00209,25210000,60000
R04-00210,33140000,60000
R04-00211,14850000,40000
R04-00212,37720000,150000
R04-00213,54400000,150000
R04-00214,25240000,60000
R04-00215,45800000,150000
R04-00216,55580000,150000
R04-00217,40040000,150000
R04-00218,10970000,40000
R04-00219,34160000,150000
R04-00220,65420000,150000
R04-00221,81380000,300000
R04-00222,20770000,60000
R04-00223,63850000,150000
R04-00224,36440000,150000
R04-00225,6980000,20000
R04-00226,33490000,150000
R04-00227,114410000,300000
R04-00228,32890000,60000
R04-00229,53520000,150000
R04-00230,3780000,0
R04-00231,93560000,300000
R04-00232,92170000,300000
R04-00233,43140000,150000
R04-00234,22330000,60000
R04-00235,58370000,150000
R04-00236,13070000,40000
R04-00237,35900000,150000
R04-00238,3320000,0
R04-00239,6670000,20000
R04-00240,62860000,150000
R04-00241,74250000,300000
R04-00242,13690000,40000
R04-00243,64380000,150000
R04-00244,121440000,300000
R04-00245,113260000,300000
R04-00246,23590000,60000
R04-00247,16050000,40000
R04-00248,61070000,150000
R04-00249,31020000,60000
R04-00250,52120000,150000
R04-00251,20990000,60000
R04-00252,71830000,300000
R04-00253,2750000,0
R04-00254,42300000,150000
R04-00255,17250000,40000
R04-00256,83470000,300000
R04-00257,25990000,60000
R04-00258,32870000,60000
R04-00259,42640000,150000
R04-00260,105360000,300000
R04-00261,105490000,300000
R04-00262,65130000,150000
R04-00263,22100000,60000
R04-00264,12900000,40000
R04-00265,31710000,60000
R04-00266,22410000,60000
R04-00267,73160000,300000
R04-00268,93530000,300000
R04-00269,97870000,300000
R04-00270,63200000,150000
R04-00271,1870000,0
R04-00272,51470000,150000
R04-00273,11940000,40000
R04-00274,31470000,60000
R04-00275,33680000,150000
R04-00276,4660000,0
R04-00277,27300000,60000
R04-00278,28970000,60000
R04-00279,106360000,300000
R04-00280,58040000,150000
R04-00281,75680000,300000
R04-00282,12920000,40000
R04-00283,43930000,150000
