고객ID,타사이전금액,혜택금액
R17-00000,30910000,60000
R17-00001,4660000,0
R17-00002,123670000,300000
R17-00003,4260000,0
R17-00004,1570000,0
R17-00005,26500000,60000
R17-00006,56910000,150000
R17-00007,28150000,60000
R17-00008,63580000,150000
R17-00009,16370000,40000
R17-00010,23730000,60000
R17-00011,26580000,60000
R17-00012,31690000,60000
R17-00013,46680000,150000
R17-00014,35320000,150000
R17-00015,12580000,40000
R17-00016,57470000,150000
R17-00017,57300000,150000
R17-00018,34040000,150000
R17-00019,111240000,300000
R17-00020,63030000,150000
R17-00021,13360000,40000
R17-00022,12970000,40000
R17-00023,12240000,40000
R17-00024,23820000,60000
R17-00025,61390000,150000
R17-00026,43770000,150000
R17-00027,2610000,0
R17-00028,42110000,150000
R17-00029,71020000,300000
R17-00030,14860000,40000
R17-00031,61830000,150000
R17-00032,14380000,40000
R17-00033,52110000,150000
R17-00034,42410000,150000
R17-00035,12060000,40000
R17-00036,7010000,20000
R17-00037,25610000,60000
R17-00038,66310000,150000
R17-00039,41660000,150000
R17-00040,74850000,300000
R17-00041,62460000,150000
R17-00042,71890000,300000
R17-00043,43940000,150000
R17-00044,52150000,150000
R17-00045,65380000,150000
R17-00046,113530000,300000
R17-00047,62570000,150000
R17-00048,42430000,150000
R17-00049,21940000,60000
R17-00050,23340000,60000
R17-00051,12180000,40000
R17-00052,54210000,150000
R17-00053,91570000,300000
R17-00054,36570000,150000
R17-00055,85970000,300000
R17-00056,34540000,150000
R17-00057,41610000,150000
R17-00058,44140000,150000
R17-00059,11530000,40000
R17-00060,37480000,150000
R17-00061,24580000,60000
R17-00062,1830000,0
R17-00063,30820000,60000
R17-00064,46070000,150000
R17-00065,21690000,60000
R17-00066,74160000,300000
R17-00067,70420000,300000
R17-00068,41770000,150000
R17-00069,24720000,60000
R17-00070,46600000,150000
R17-00071,72220000,300000
R17-00072,95930000,300000
R17-00073,15140000,40000
R17-00074,12410000,40000
R17-00075,151430000,600000
R17-00076,23130000,60000
R17-00077,44550000,150000
R17-00078,74040000,300000
R17-00079,78260000,300000
R17-00080,34450000,150000
R17-00081,64440000,150000
R17-00082,3720000,0
R17-00083,7580000,20000
R17-00084,7830000,20000
R17-00085,25730000,60000
R17-00086,5710000,20000
R17-00087,49280000,150000
R17-00088,35740000,150000
R17-00089,14930000,40000
R17-00090,43430000,150000
R17-00091,19000000,40000
R17-00092,65470000,150000
R17-00093,41800000,150000
R17-00094,102990000,300000
R17-00095,104970000,300000
R17-00096,36230000,150000
R17-00097,14920000,40000
R17-00098,26240000,60000
R17-00099,23410000,60000
R17-00100,1200000,0
R17-00101,22210000,60000
R17-00102,73680000,300000
R17-00103,91580000,300000
R17-00104,28340000,60000
R17-00105,34000000,150000
R17-00106,44030000,150000
R17-00107,112360000,300000
R17-00108,5470000,20000
R17-00109,82970000,300000
R17-00110,5660000,20000
R17-00111,43230000,150000
R17-00112,136690000,600000
R17-00113,34670000,150000
R17-00114,73330000,300000
R17-00115,21360000,60000
R17-00116,34320000,150000
R17-00117,68670000,300000
R17-00118,63160000,150000
R17-00119,103090000,300000
R17-00120,21530000,60000
R17-00121,33360000,150000
R17-00122,2710000,0
R17-00123,13670000,40000
R17-00124,2360000,0
R17-00125,1700000,0
R17-00126,131450000,300000
R17-00127,143890000,600000
R17-00128,51000000,150000
R17-00129,19360000,40000
R17-00130,20440000,60000
R17-00131,33250000,60000
R17-00132,84660000,300000
R17-00133,31280000,60000
R17-00134,41670000,150000
R17-00135,24140000,60000
R17-00136,22450000,60000
R17-00137,4890000,0
R17-00138,4050000,0
R17-00139,33730000,150000
R17-00140,35980000,150000
R17-00141,115050000,300000
R17-00142,22220000,60000
R17-00143,30700000,60000
R17-00144,7410000,20000
R17-00145,65940000,150000
R17-00146,51880000,150000
R17-00147,54750000,150000
R17-00148,103780000,300000
R17-00149,42770000,150000
R17-00150,6020000,20000
R17-00151,125930000,300000
R17-00152,124980000,300000
R17-00153,12030000,40000
R17-00154,270000,0
R17-00155,171830000,600000
R17-00156,93430000,300000
R17-00157,31460000,60000
R17-00158,36580000,150000
R17-00159,20910000,60000
R17-00160,26320000,60000
R17-00161,103180000,300000
R17-00162,52600000,150000
R17-00163,15220000,40000
R17-00164,25680000,60000
R17-00165,56840000,150000
R17-00166,13470000,40000
R17-00167,12820000,40000
R17-00168,156030000,600000
R17-00169,5800000,20000
R17-00170,51640000,150000
R17-00171,5310000,20000
R17-00172,10780000,40000
R17-00173,80800000,300000
R17-00174,34660000,150000
R17-00175,7000000,20000
R17-00176,91450000,300000
R17-00177,15190000,40000
R17-00178,4380000,0
R17-00179,56390000,150000
R17-00180,52160000,150000
R17-00181,65890000,150000
R17-00182,32800000,60000
R17-00183,11210000,40000
R17-00184,22760000,60000
R17-00185,80680000,300000
R17-00186,13630000,40000
R17-00187,22670000,60000
R17-00188,61690000,150000
R17-00189,33190000,60000
R17-00190,5070000,20000
R17-00191,87710000,300000
R17-00192,82090000,300000
R17-00193,24450000,60000
R17-00194,12260000,40000
R17-00195,15720000,40000
R17-00196,22080000,60000
R17-00197,63110000,150000
R17-00198,28300000,60000
R17-00199,61520000,150000
R17-00200,37400000,150000
R17-00201,33990000,150000
R17-00202,41110000,150000
R17-00203,72350000,300000
R17-00204,4590000,0
R17-00205,8470000,20000
R17-00206,64510000,150000
R17-00207,42520000,150000
R17-00208,5150000,20000
R17-00209,46080000,150000
R17-00210,72410000,300000
R17-00211,23230000,60000
R17-00212,63610000,150000
R17-00213,63140000,150000
R17-00214,35080000,150000
R17-00215,22200000,60000
R17-00216,1680000,0
R17-00217,123010000,300000
R17-00218,13350000,40000
R17-00219,14920000,40000
R17-00220,121610000,300000
R17-00221,67200000,300000
R17-00222,8300000,20000
R17-00223,65620000,150000
R17-00224,25820000,60000
R17-00225,41850000,150000
R17-00226,44540000,150000
R17-00227,83070000,300000
R17-00228,76780000,300000
R17-00229,47990000,150000
R17-00230,3800000,0
R17-00231,4210000,0
R17-00232,4370000,0
R17-00233,12820000,40000
R17-00234,78130000,300000
R17-00235,46290000,150000
R17-00236,4670000,0
R17-00237,72500000,300000
R17-00238,31880000,60000
R17-00239,3080000,0
R17-00240,32240000,60000
R17-00241,31850000,60000
R17-00242,6050000,20000
R17-00243,42150000,150000
R17-00244,91810000,300000
R17-00245,22300000,60000
R17-00246,33320000,60000
R17-00247,77140000,300000
R17-00248,57100000,150000
R17-00249,34010000,150000
R17-00250,53360000,150000
R17-00251,32700000,60000
R17-00252,14130000,40000
R17-00253,3980000,0
R17-00254,25450000,60000
R17-00255,74320000,300000
R17-00256,22090000,60000
R17-00257,3640000,0
R17-00258,35110000,150000
R17-00259,33100000,60000
R17-00260,22490000,60000
R17-00261,4290000,0
R17-00262,71360000,300000
R17-00263,20980000,60000
R17-00264,11640000,40000
R17-00265,52050000,150000
R17-00266,95710000,300000
R17-00267,65230000,150000
R17-00268,23850000,60000
R17-00269,1360000,0
R17-00270,42600000,150000
R17-00271,15560000,40000
R17-00272,44650000,150000
R17-00273,28070000,60000
R17-00274,2310000,0
R17-00275,32620000,60000
R17-00276,106950000,300000
R17-00277,21450000,60000
R17-00278,54990000,150000
R17-00279,34360000,150000
R17-00280,41620000,150000
R17-00281,1790000,0
R17-00282,4260000,0
R17-00283,56140000,150000
R17-00284,52830000,150000
R17-00285,32220000,60000
R17-00286,44150000,150000
R17-00287,70860000,300000
R17-00288,72470000,300000
R17-00289,65830000,150000
R17-00290,82210000,300000
R17-00291,32360000,60000
R17-00292,13770000,40000
R17-00293,74490000,300000
R17-00294,2790000,0
R17-00295,45230000,150000
R17-00296,5370000,20000
R17-00297,41340000,150000
R17-00298,34570000,150000
R17-00299,12340000,40000
R17-00300,43480000,150000
R17-00301,5340000,20000
R17-00302,25340000,60000
R17-00303,85570000,300000
R17-00304,28620000,60000
R17-00305,45290000,150000
R17-00306,34560000,150000
R17-00307,27830000,60000
R17-00308,22090000,60000
R17-00309,43060000,150000
R17-00310,101150000,300000
R17-00311,22360000,60000
R17-00312,43090000,150000
R17-00313,37630000,150000
R17-00314,6370000,20000
R17-00315,63940000,150000
R17-00316,55720000,150000
R17-00317,10580000,40000
R17-00318,12560000,40000
R17-00319,23080000,60000
R17-00320,18000000,40000
R17-00321,36630000,150000
R17-00322,55980000,150000
R17-00323,60290000,150000
R17-00324,31570000,60000
R17-00325,85660000,300000
R17-00326,77220000,300000
R17-00327,44810000,150000
R17-00328,33870000,150000
R17-00329,62950000,150000
R17-00330,5080000,20000
R17-00331,13040000,40000
R17-00332,43690000,150000
R17-00333,152310000,600000
R17-00334,24430000,60000
R17-00335,4690000,0
R17-00336,16500000,40000
R17-00337,51080000,150000
R17-00338,22950000,60000
R17-00339,46280000,150000
R17-00340,61800000,150000
R17-00341,55390000,150000
R17-00342,34460000,150000
R17-00343,81420000,300000
R17-00344,34920000,150000
R17-00345,43580000,150000
R17-00346,26340000,60000
R17-00347,66890000,300000
R17-00348,102770000,300000
R17-00349,1890000,0
R17-00350,54200000,150000
R17-00351,33530000,150000
R17-00352,33690000,150000
R17-00353,8250000,20000
R17-00354,44320000,150000
R17-00355,30690000,60000
R17-00356,52030000,150000
R17-00357,93590000,300000
R17-00358,52090000,150000
R17-00359,14850000,40000
R17-00360,33840000,150000
R17-00361,52690000,150000
R17-00362,104610000,300000
R17-00363,95720000,300000
R17-00364,1730000,0
R17-00365,37600000,150000
R17-00366,32250000,60000
R17-00367,82160000,300000
R17-00368,93670000,300000
R17-00369,104120000,300000
R17-00370,48760000,150000
R17-00371,65030000,150000
R17-00372,41640000,150000
R17-00373,30990000,60000
R17-00374,21050000,60000
R17-00375,82840000,300000
R17-00376,35140000,150000
R17-00377,6270000,20000
R17-00378,2150000,0
R17-00379,12580000,40000
R17-00380,76150000,300000
R17-00381,83550000,300000
R17-00382,41510000,150000
R17-00383,5190000,20000
R17-00384,34390000,150000
R17-00385,52680000,150000
R17-00386,71420000,300000
R17-00387,43020000,150000
R17-00388,84760000,300000
R17-00389,65230000,150000
R17-00390,41000000,150000
R17-00391,24650000,60000
R17-00392,72370000,300000
R17-00393,28020000,60000
R17-00394,12430000,40000
R17-00395,16230000,40000
R17-00396,42960000,150000
R17-00397,21890000,60000
R17-00398,23270000,60000
R17-00399,3730000,0
R17-00400,61070000,150000
R17-00401,58790000,150000
R17-00402,33940000,150000
R17-00403,22690000,60000
