고객ID,타사이전금액,혜택금액
R28-00000,22180000,60000
R28-00001,70590000,300000
R28-00002,12240000,40000
R28-00003,32830000,60000
R28-00004,11470000,40000
R28-00005,21500000,60000
R28-00006,61370000,150000
R28-00007,30550000,60000
R28-00008,21060000,60000
R28-00009,22450000,60000
R28-00010,33480000,150000
R28-00011,3750000,0
R28-00012,55710000,150000
R28-00013,11420000,40000
R28-00014,65150000,150000
R28-00015,51160000,150000
R28-00016,43990000,150000
R28-00017,11980000,40000
R28-00018,47050000,150000
R28-00019,41200000,150000
R28-00020,73030000,300000
R28-00021,67640000,300000
R28-00022,74340000,300000
R28-00023,63430000,150000
R28-00024,14080000,40000
R28-00025,66650000,150000
R28-00026,14550000,40000
R28-00027,2760000,0
R28-00028,88700000,300000
R28-00029,13610000,40000
R28-00030,26100000,60000
R28-00031,34190000,150000
R28-00032,60890000,150000
R28-00033,15630000,40000
R28-00034,51810000,150000
R28-00035,71660000,300000
R28-00036,36190000,150000
R28-00037,2160000,0
R28-00038,22610000,60000
R28-00039,21980000,60000
R28-00040,66590000,150000
R28-00041,140820000,600000
R28-00042,222690000,1000000
R28-00043,72720000,300000
R28-00044,1480000,0
R28-00045,22370000,60000
R28-00046,45230000,150000
R28-00047,3300000,0
R28-00048,114020000,300000
R28-00049,1860000,0
R28-00050,55510000,150000
R28-00051,70300000,300000
R28-00052,101920000,300000
R28-00053,83280000,300000
R28-00054,71440000,300000
R28-00055,32300000,60000
R28-00056,35110000,150000
R28-00057,31610000,60000
R28-00058,1600000,0
R28-00059,92850000,300000
R28-00060,11450000,40000
R28-00061,2880000,0
R28-00062,27550000,60000
R28-00063,24220000,60000
R28-00064,31020000,60000
R28-00065,38050000,150000
R28-00066,44070000,150000
R28-00067,38190000,150000
R28-00068,46470000,150000
R28-00069,85350000,300000
R28-00070,86310000,300000
R28-00071,81840000,300000
R28-00072,214960000,1000000
R28-00073,144750000,600000
R28-00074,62600000,150000
R28-00075,5490000,20000
R28-00076,28160000,60000
R28-00077,7320000,20000
R28-00078,50570000,150000
R28-00079,2130000,0
R28-00080,41470000,150000
R28-00081,3820000,0
R28-00082,22060000,60000
R28-00083,46710000,150000
R28-00084,2750000,0
R28-00085,58950000,150000
R28-00086,95040000,300000
R28-00087,33000000,60000
R28-00088,84740000,300000
R28-00089,20870000,60000
R28-00090,4420000,0
R28-00091,95030000,300000
R28-00092,32950000,60000
R28-00093,61540000,150000
R28-00094,44580000,150000
