고객ID,타사이전금액,혜택금액
R22-00000,31890000,60000
R22-00001,65170000,150000
R22-00002,67250000,300000
R22-00003,86380000,300000
R22-00004,6410000,20000
R22-00005,22380000,60000
R22-00006,85350000,300000
R22-00007,41370000,150000
R22-00008,43910000,150000
R22-00009,25450000,60000
R22-00010,53100000,150000
R22-00011,53860000,150000
R22-00012,31160000,60000
R22-00013,80540000,300000
R22-00014,72440000,300000
R22-00015,56860000,150000
R22-00016,53710000,150000
R22-00017,27820000,60000
R22-00018,5790000,20000
R22-00019,72450000,300000
R22-00020,95300000,300000
R22-00021,104580000,300000
R22-00022,41510000,150000
R22-00023,44380000,150000
R22-00024,66720000,300000
R22-00025,15600000,40000
R22-00026,1490000,0
R22-00027,22720000,60000
R22-00028,23040000,60000
R22-00029,82250000,300000
R22-00030,4970000,0
R22-00031,76260000,300000
R22-00032,3970000,0
R22-00033,106430000,300000
R22-00034,45030000,150000
R22-00035,22240000,60000
R22-00036,64660000,150000
R22-00037,62110000,150000
R22-00038,94720000,300000
R22-00039,21230000,60000
R22-00040,51950000,150000
R22-00041,89680000,300000
R22-00042,48230000,150000
R22-00043,54220000,150000
R22-00044,52050000,150000
R22-00045,222910000,1000000
R22-00046,23170000,60000
R22-00047,85670000,300000
R22-00048,24200000,60000
R22-00049,17020000,40000
R22-00050,47730000,150000
R22-00051,100450000,300000
R22-00052,6200000,20000
R22-00053,22610000,60000
R22-00054,12840000,40000
R22-00055,35540000,150000
R22-00056,1130000,0
R22-00057,27750000,60000
R22-00058,27210000,60000
R22-00059,96470000,300000
R22-00060,104410000,300000
R22-00061,30710000,60000
R22-00062,45660000,150000
R22-00063,72670000,300000
R22-00064,53050000,150000
R22-00065,11990000,40000
R22-00066,76450000,300000
R22-00067,24470000,60000
R22-00068,7960000,20000
R22-00069,12920000,40000
R22-00070,72130000,300000
R22-00071,3510000,0
R22-00072,96880000,300000
R22-00073,2600000,0
R22-00074,12280000,40000
R22-00075,83000000,300000
R22-00076,56810000,150000
R22-00077,14730000,40000
R22-00078,17220000,40000
R22-00079,34920000,150000
R22-00080,4040000,0
R22-00081,46870000,150000
R22-00082,5700000,20000
R22-00083,36170000,150000
R22-00084,23850000,60000
R22-00085,37640000,150000
R22-00086,94450000,300000
R22-00087,51060000,150000
R22-00088,43540000,150000
R22-00089,54510000,150000
R22-00090,280000,0
R22-00091,103630000,300000
R22-00092,13040000,40000
R22-00093,31500000,60000
R22-00094,4730000,0
R22-00095,81980000,300000
R22-00096,46790000,150000
R22-00097,84920000,300000
R22-00098,76140000,300000
R22-00099,42130000,150000
R22-00100,60450000,150000
R22-00101,101870000,300000
R22-00102,85710000,300000
R22-00103,46900000,150000
R22-00104,1330000,0
R22-00105,1900000,0
R22-00106,17860000,40000
R22-00107,73540000,300000
R22-00108,75370000,300000
R22-00109,4180000,0
R22-00110,45010000,150000
R22-00111,102530000,300000
R22-00112,43600000,150000
R22-00113,11740000,40000
R22-00114,86340000,300000
R22-00115,95940000,300000
R22-00116,43700000,150000
R22-00117,106110000,300000
R22-00118,63600000,150000
R22-00119,2850000,0
R22-00120,68870000,300000
R22-00121,41350000,150000
R22-00122,43910000,150000
R22-00123,64370000,150000
R22-00124,31910000,60000
R22-00125,14250000,40000
R22-00126,82990000,300000
R22-00127,30950000,60000
R22-00128,4930000,0
R22-00129,2070000,0
R22-00130,83140000,300000
R22-00131,32750000,60000
R22-00132,44210000,150000
R22-00133,7560000,20000
R22-00134,24950000,60000
R22-00135,51650000,150000
R22-00136,73490000,300000
R22-00137,11060000,40000
R22-00138,73910000,300000
R22-00139,43830000,150000
R22-00140,34680000,150000
R22-00141,31590000,60000
R22-00142,66840000,300000
R22-00143,92340000,300000
R22-00144,26620000,60000
R22-00145,1530000,0
R22-00146,43510000,150000
R22-00147,13120000,40000
R22-00148,60950000,150000
R22-00149,1270000,0
R22-00150,28080000,60000
R22-00151,85400000,300000
R22-00152,61930000,150000
R22-00153,23440000,60000
R22-00154,56440000,150000
R22-00155,4610000,0
R22-00156,3190000,0
R22-00157,25370000,60000
R22-00158,13540000,40000
R22-00159,75060000,300000
R22-00160,104190000,300000
R22-00161,4470000,0
R22-00162,40860000,150000
R22-00163,34210000,150000
R22-00164,1840000,0
R22-00165,128050000,300000
R22-00166,62220000,150000
R22-00167,52270000,150000
R22-00168,53770000,150000
R22-00169,1930000,0
R22-00170,59600000,150000
R22-00171,1060000,0
R22-00172,41510000,150000
R22-00173,46230000,150000
R22-00174,32550000,60000
R22-00175,28850000,60000
R22-00176,107420000,300000
R22-00177,14800000,40000
R22-00178,24390000,60000
R22-00179,55750000,150000
R22-00180,75040000,300000
R22-00181,57540000,150000
R22-00182,25780000,60000
R22-00183,117210000,300000
R22-00184,15160000,40000
R22-00185,1800000,0
R22-00186,11700000,40000
R22-00187,71490000,300000
R22-00188,16150000,40000
R22-00189,34270000,150000
R22-00190,8960000,20000
R22-00191,35890000,150000
R22-00192,42400000,150000
R22-00193,63590000,150000
R22-00194,4590000,0
R22-00195,2110000,0
R22-00196,65580000,150000
R22-00197,11780000,40000
R22-00198,7920000,20000
R22-00199,64890000,150000
R22-00200,14680000,40000
R22-00201,25520000,60000
R22-00202,101750000,300000
R22-00203,14680000,40000
R22-00204,3720000,0
R22-00205,153810000,600000
R22-00206,34000000,150000
R22-00207,27880000,60000
R22-00208,64680000,150000
R22-00209,41080000,150000
R22-00210,32780000,60000
R22-00211,87520000,300000
R22-00212,52680000,150000
R22-00213,64630000,150000
R22-00214,22100000,60000
R22-00215,61560000,150000
R22-00216,33500000,150000
R22-00217,23720000,60000
R22-00218,22230000,60000
R22-00219,55070000,150000
R22-00220,94490000,300000
R22-00221,61730000,150000
R22-00222,4020000,0
R22-00223,17080000,40000
R22-00224,94690000,300000
R22-00225,41870000,150000
R22-00226,84920000,300000
R22-00227,113990000,300000
R22-00228,76240000,300000
R22-00229,33220000,60000
R22-00230,74380000,300000
R22-00231,63190000,150000
R22-00232,1070000,0
R22-00233,34500000,150000
R22-00234,590000,0
R22-00235,75780000,300000
R22-00236,41730000,150000
R22-00237,25710000,60000
R22-00238,82400000,300000
R22-00239,30960000,60000
R22-00240,13980000,40000
R22-00241,144510000,600000
R22-00242,14690000,40000
R22-00243,73840000,300000
R22-00244,60430000,150000
R22-00245,98700000,300000
R22-00246,23510000,60000
R22-00247,5540000,20000
R22-00248,63250000,150000
R22-00249,53220000,150000
R22-00250,44260000,150000
R22-00251,75590000,300000
R22-00252,115680000,300000
R22-00253,24830000,60000
R22-00254,111790000,300000
R22-00255,74030000,300000
R22-00256,6210000,20000
R22-00257,33110000,60000
R22-00258,44230000,150000
R22-00259,72230000,300000
R22-00260,6490000,20000
R22-00261,21690000,60000
R22-00262,61570000,150000
R22-00263,37600000,150000
R22-00264,2320000,0
R22-00265,2870000,0
R22-00266,24620000,60000
R22-00267,42720000,150000
R22-00268,17360000,40000
R22-00269,85010000,300000
R22-00270,22640000,60000
R22-00271,135820000,600000
R22-00272,132990000,300000
R22-00273,21910000,60000
R22-00274,96930000,300000
R22-00275,62230000,150000
R22-00276,14860000,40000
R22-00277,71950000,300000
R22-00278,44180000,150000
R22-00279,33700000,150000
R22-00280,23640000,60000
R22-00281,61150000,150000
R22-00282,107610000,300000
R22-00283,71750000,300000
R22-00284,57350000,150000
R22-00285,6760000,20000
R22-00286,32010000,60000
R22-00287,14770000,40000
R22-00288,30480000,60000
R22-00289,37650000,150000
R22-00290,14750000,40000
R22-00291,42620000,150000
R22-00292,84490000,300000
R22-00293,92980000,300000
R22-00294,45270000,150000
R22-00295,26280000,60000
R22-00296,34400000,150000
R22-00297,22590000,60000
R22-00298,86140000,300000
R22-00299,41670000,150000
R22-00300,36950000,150000
R22-00301,14520000,40000
R22-00302,28360000,60000
R22-00303,62670000,150000
R22-00304,81810000,300000
R22-00305,56570000,150000
R22-00306,18680000,40000
R22-00307,50400000,150000
R22-00308,43210000,150000
R22-00309,25240000,60000
R22-00310,25070000,60000
R22-00311,51620000,150000
R22-00312,6320000,20000
R22-00313,95100000,300000
R22-00314,21830000,60000
R22-00315,43090000,150000
R22-00316,6570000,20000
R22-00317,73090000,300000
R22-00318,5150000,20000
R22-00319,77330000,300000
R22-00320,22600000,60000
R22-00321,111210000,300000
R22-00322,60390000,150000
R22-00323,40570000,150000
R22-00324,66640000,150000
R22-00325,16920000,40000
R22-00326,6850000,20000
R22-00327,46400000,150000
R22-00328,43570000,150000
R22-00329,132520000,300000
R22-00330,103160000,300000
R22-00331,43860000,150000
R22-00332,71460000,300000
R22-00333,12510000,40000
R22-00334,13210000,40000
R22-00335,112490000,300000
R22-00336,63380000,150000
R22-00337,43840000,150000
R22-00338,65800000,150000
R22-00339,41970000,150000
R22-00340,31580000,60000
R22-00341,11650000,40000
R22-00342,40620000,150000
R22-00343,950000,0
R22-00344,83760000,300000
R22-00345,72380000,300000
R22-00346,23760000,60000
R22-00347,43080000,150000
R22-00348,42840000,150000
R22-00349,62110000,150000
R22-00350,105800000,300000
R22-00351,25950000,60000
R22-00352,17180000,40000
R22-00353,33690000,150000
R22-00354,18290000,40000
R22-00355,26950000,60000
R22-00356,40920000,150000
R22-00357,4730000,0
R22-00358,81930000,300000
R22-00359,55220000,150000
R22-00360,42850000,150000
R22-00361,23580000,60000
R22-00362,17900000,40000
R22-00363,87440000,300000
R22-00364,3810000,0
R22-00365,44770000,150000
R22-00366,35280000,150000
R22-00367,84800000,300000
R22-00368,64070000,150000
R22-00369,144740000,600000
R22-00370,85450000,300000
R22-00371,31550000,60000
R22-00372,16450000,40000
R22-00373,85980000,300000
R22-00374,91590000,300000
R22-00375,51980000,150000
R22-00376,26300000,60000
R22-00377,40450000,150000
R22-00378,5660000,20000
R22-00379,1820000,0
R22-00380,48050000,150000
R22-00381,91850000,300000
R22-00382,41220000,150000
R22-00383,12920000,40000
R22-00384,121530000,300000
R22-00385,32100000,60000
R22-00386,158720000,600000
R22-00387,63280000,150000
R22-00388,25860000,60000
R22-00389,22220000,60000
R22-00390,34390000,150000
R22-00391,61780000,150000
R22-00392,31490000,60000
R22-00393,76280000,300000
R22-00394,12210000,40000
R22-00395,32020000,60000
R22-00396,55990000,150000
R22-00397,41870000,150000
R22-00398,21660000,60000
R22-00399,25440000,60000
R22-00400,1990000,0
R22-00401,82680000,300000
R22-00402,10990000,40000
R22-00403,13520000,40000
R22-00404,31300000,60000
R22-00405,40830000,150000
R22-00406,22370000,60000
R22-00407,3120000,0
R22-00408,9100000,20000
R22-00409,11110000,40000
R22-00410,27470000,60000
R22-00411,42740000,150000
R22-00412,11310000,40000
R22-00413,16300000,40000
R22-00414,96220000,300000
R22-00415,17720000,40000
R22-00416,14590000,40000
R22-00417,5340000,20000
R22-00418,4670000,0
R22-00419,1250000,0
R22-00420,94250000,300000
R22-00421,45870000,150000
R22-00422,22020000,60000
R22-00423,1260000,0
R22-00424,94730000,300000
R22-00425,34680000,150000
R22-00426,83820000,300000
R22-00427,135360000,600000
R22-00428,81220000,300000
R22-00429,76100000,300000
R22-00430,4470000,0
R22-00431,10620000,40000
R22-00432,61320000,150000
R22-00433,16960000,40000
R22-00434,67030000,300000
R22-00435,23690000,60000
R22-00436,43110000,150000
R22-00437,4220000,0
R22-00438,41820000,150000
R22-00439,1640000,0
R22-00440,92930000,300000
R22-00441,30760000,60000
R22-00442,4120000,0
R22-00443,74140000,300000
R22-00444,34120000,150000
R22-00445,46980000,150000
R22-00446,14600000,40000
R22-00447,710000,0
R22-00448,1970000,0
R22-00449,4290000,0
R22-00450,26230000,60000
R22-00451,16970000,40000
R22-00452,32820000,60000
R22-00453,20690000,60000
R22-00454,12110000,40000
R22-00455,22370000,60000
R22-00456,73010000,300000
R22-00457,68710000,300000
R22-00458,24880000,60000
R22-00459,63000000,150000
R22-00460,16770000,40000
R22-00461,64180000,150000
R22-00462,105990000,300000
R22-00463,44750000,150000
R22-00464,83360000,300000
R22-00465,3320000,0
R22-00466,56340000,150000
R22-00467,15240000,40000
R22-00468,106980000,300000
R22-00469,31750000,60000
R22-00470,3290000,0
R22-00471,12620000,40000
R22-00472,22600000,60000
R22-00473,4090000,0
R22-00474,42740000,150000
R22-00475,63270000,150000
R22-00476,32600000,60000
R22-00477,65630000,150000
R22-00478,94730000,300000
R22-00479,33570000,150000
R22-00480,14970000,40000
R22-00481,73220000,300000
R22-00482,32520000,60000
R22-00483,1430000,0
R22-00484,12480000,40000
R22-00485,121290000,300000
R22-00486,44680000,150000
R22-00487,23790000,60000
R22-00488,103810000,300000
R22-00489,103340000,300000
R22-00490,26870000,60000
R22-00491,42690000,150000
R22-00492,54820000,150000
R22-00493,112350000,300000
R22-00494,2650000,0
R22-00495,2670000,0
R22-00496,57040000,150000
R22-00497,38150000,150000
R22-00498,71950000,300000
R22-00499,8050000,20000
R22-00500,81870000,300000
R22-00501,114000000,300000
R22-00502,94120000,300000
R22-00503,33880000,150000
R22-00504,73910000,300000
R22-00505,38300000,150000
R22-00506,25990000,60000
R22-00507,26130000,60000
R22-00508,4040000,0
R22-00509,38400000,150000
R22-00510,56720000,150000
R22-00511,23840000,60000
R22-00512,45960000,150000
R22-00513,1530000,0
R22-00514,23980000,60000
R22-00515,2810000,0
R22-00516,11590000,40000
R22-00517,45830000,150000
R22-00518,11180000,40000
R22-00519,6260000,20000
R22-00520,82290000,300000
R22-00521,93340000,300000
R22-00522,14690000,40000
R22-00523,10290000,40000
R22-00524,63290000,150000
R22-00525,24840000,60000
R22-00526,10930000,40000
R22-00527,83280000,300000
R22-00528,53990000,150000
R22-00529,24760000,60000
R22-00530,42870000,150000
R22-00531,77820000,300000
R22-00532,32080000,60000
R22-00533,92980000,300000
R22-00534,27190000,60000
R22-00535,13870000,40000
R22-00536,61900000,150000
R22-00537,92060000,300000
R22-00538,12800000,40000
R22-00539,73940000,300000
R22-00540,32510000,60000
R22-00541,23720000,60000
R22-00542,94500000,300000
R22-00543,42140000,150000
R22-00544,142590000,600000
R22-00545,77290000,300000
R22-00546,26320000,60000
R22-00547,53840000,150000
R22-00548,13860000,40000
R22-00549,350000,0
R22-00550,5820000,20000
R22-00551,3410000,0
R22-00552,25960000,60000
R22-00553,12880000,40000
R22-00554,84140000,300000
R22-00555,62130000,150000
R22-00556,32670000,60000
R22-00557,2670000,0
R22-00558,33440000,150000
R22-00559,73550000,300000
R22-00560,35800000,150000
R22-00561,105710000,300000
R22-00562,24800000,60000
R22-00563,53630000,150000
R22-00564,42040000,150000
R22-00565,51240000,150000
R22-00566,42610000,150000
R22-00567,8320000,20000
R22-00568,5960000,20000
R22-00569,21490000,60000
R22-00570,45150000,150000
R22-00571,610000,0
R22-00572,44470000,150000
R22-00573,40640000,150000
R22-00574,15070000,40000
R22-00575,35940000,150000
R22-00576,45570000,150000
R22-00577,13220000,40000
R22-00578,85360000,300000
R22-00579,44350000,150000
R22-00580,21860000,60000
R22-00581,11310000,40000
R22-00582,36130000,150000
R22-00583,55800000,150000
R22-00584,1430000,0
R22-00585,2860000,0
R22-00586,2140000,0
R22-00587,17390000,40000
R22-00588,13180000,40000
R22-00589,22360000,60000
R22-00590,57640000,150000
R22-00591,45950000,150000
R22-00592,113220000,300000
R22-00593,52240000,150000
R22-00594,4490000,0
R22-00595,12340000,40000
R22-00596,54390000,150000
R22-00597,10160000,40000
R22-00598,62690000,150000
R22-00599,41120000,150000
R22-00600,64810000,150000
R22-00601,88890000,300000
R22-00602,71790000,300000
R22-00603,44690000,150000
R22-00604,57370000,150000
R22-00605,15250000,40000
R22-00606,93490000,300000
R22-00607,46230000,150000
R22-00608,45040000,150000
R22-00609,86180000,300000
R22-00610,40890000,150000
R22-00611,64410000,150000
R22-00612,135290000,600000
R22-00613,77100000,300000
R22-00614,6050000,20000
R22-00615,71600000,300000
R22-00616,2330000,0
R22-00617,51730000,150000
R22-00618,17330000,40000
R22-00619,22810000,60000
R22-00620,13220000,40000
R22-00621,23910000,60000
R22-00622,11860000,40000
R22-00623,15580000,40000
R22-00624,151520000,600000
R22-00625,63620000,150000
R22-00626,13310000,40000
R22-00627,20430000,60000
R22-00628,63920000,150000
R22-00629,63690000,150000
R22-00630,22900000,60000
R22-00631,73340000,300000
R22-00632,17000000,40000
R22-00633,24850000,60000
R22-00634,82340000,300000
R22-00635,5810000,20000
R22-00636,37830000,150000
R22-00637,43110000,150000
R22-00638,62170000,150000
R22-00639,30380000,60000
R22-00640,22540000,60000
R22-00641,113320000,300000
R22-00642,85540000,300000
R22-00643,80320000,300000
R22-00644,990000,0
R22-00645,62670000,150000
R22-00646,11820000,40000
R22-00647,53720000,150000
R22-00648,55460000,150000
R22-00649,23720000,60000
R22-00650,91660000,300000
R22-00651,24250000,60000
R22-00652,1770000,0
R22-00653,65430000,150000
R22-00654,84160000,300000
R22-00655,2650000,0
R22-00656,5990000,20000
R22-00657,11210000,40000
R22-00658,71550000,300000
R22-00659,13510000,40000
R22-00660,82950000,300000
R22-00661,63610000,150000
R22-00662,92330000,300000
R22-00663,62010000,150000
R22-00664,15020000,40000
R22-00665,4800000,0
R22-00666,61960000,150000
R22-00667,22830000,60000
R22-00668,25360000,60000
R22-00669,95800000,300000
R22-00670,33290000,60000
R22-00671,34430000,150000
R22-00672,3230000,0
R22-00673,34090000,150000
R22-00674,25830000,60000
R22-00675,10800000,40000
R22-00676,121940000,300000
R22-00677,132880000,300000
R22-00678,12200000,40000
R22-00679,73510000,300000
R22-00680,104580000,300000
R22-00681,34580000,150000
R22-00682,41620000,150000
R22-00683,64380000,150000
R22-00684,6160000,20000
R22-00685,38380000,150000
R22-00686,1880000,0
R22-00687,61080000,150000
R22-00688,52690000,150000
R22-00689,42000000,150000
R22-00690,41650000,150000
R22-00691,41090000,150000
R22-00692,31640000,60000
R22-00693,27120000,60000
R22-00694,82030000,300000
R22-00695,3500000,0
R22-00696,45530000,150000
R22-00697,14820000,40000
R22-00698,43860000,150000
R22-00699,21950000,60000
R22-00700,72960000,300000
R22-00701,52670000,150000
R22-00702,5140000,20000
R22-00703,104080000,300000
R22-00704,77150000,300000
R22-00705,71480000,300000
R22-00706,53540000,150000
R22-00707,34530000,150000
R22-00708,2190000,0
R22-00709,40290000,150000
R22-00710,52360000,150000
R22-00711,71680000,300000
R22-00712,5010000,20000
R22-00713,27710000,60000
R22-00714,55130000,150000
R22-00715,4120000,0
R22-00716,22410000,60000
R22-00717,6710000,20000
R22-00718,54430000,150000
R22-00719,123890000,300000
R22-00720,11910000,40000
R22-00721,35440000,150000
R22-00722,53560000,150000
R22-00723,55880000,150000
R22-00724,2320000,0
R22-00725,4520000,0
R22-00726,52650000,150000
R22-00727,16810000,40000
R22-00728,7560000,20000
R22-00729,79270000,300000
R22-00730,82560000,300000
R22-00731,42160000,150000
R22-00732,98650000,300000
R22-00733,74910000,300000
R22-00734,14490000,40000
R22-00735,48050000,150000
R22-00736,25770000,60000
R22-00737,8080000,20000
R22-00738,10720000,40000
R22-00739,42560000,150000
R22-00740,54710000,150000
R22-00741,31170000,60000
R22-00742,93180000,300000
R22-00743,18740000,40000
R22-00744,75300000,300000
R22-00745,36910000,150000
R22-00746,94820000,300000
R22-00747,85900000,300000
R22-00748,103860000,300000
R22-00749,46080000,150000
R22-00750,22300000,60000
R22-00751,25790000,60000
R22-00752,71660000,300000
R22-00753,131840000,300000
R22-00754,63560000,150000
R22-00755,780000,0
R22-00756,13980000,40000
R22-00757,11330000,40000
R22-00758,4720000,0
R22-00759,93040000,300000
R22-00760,7280000,20000
R22-00761,43330000,150000
R22-00762,55130000,150000
R22-00763,8230000,20000
R22-00764,33600000,150000
R22-00765,82910000,300000
R22-00766,13660000,40000
R22-00767,34670000,150000
R22-00768,31520000,60000
R22-00769,28790000,60000
R22-00770,7560000,20000
R22-00771,32820000,60000
R22-00772,31300000,60000
R22-00773,23380000,60000
R22-00774,22210000,60000
R22-00775,132650000,300000
R22-00776,97330000,300000
R22-00777,41810000,150000
R22-00778,101140000,300000
R22-00779,1990000,0
R22-00780,3730000,0
R22-00781,51340000,150000
R22-00782,2890000,0
R22-00783,57840000,150000
R22-00784,21850000,60000
R22-00785,38260000,150000
R22-00786,34210000,150000
R22-00787,65200000,150000
R22-00788,61410000,150000
R22-00789,42950000,150000
R22-00790,63780000,150000
R22-00791,48310000,150000
R22-00792,22210000,60000
R22-00793,23730000,60000
R22-00794,23570000,60000
R22-00795,33270000,60000
R22-00796,12910000,40000
R22-00797,6170000,20000
R22-00798,23570000,60000
R22-00799,52530000,150000
R22-00800,82220000,300000
R22-00801,105000000,300000
R22-00802,12520000,40000
R22-00803,82360000,300000
R22-00804,35920000,150000
R22-00805,12490000,40000
R22-00806,32400000,60000
R22-00807,116370000,300000
R22-00808,21830000,60000
R22-00809,11950000,40000
R22-00810,23480000,60000
R22-00811,12690000,40000
R22-00812,81210000,300000
R22-00813,107050000,300000
R22-00814,23750000,60000
R22-00815,13420000,40000
R22-00816,91990000,300000
R22-00817,1020000,0
R22-00818,85760000,300000
R22-00819,35630000,150000
R22-00820,91880000,300000
R22-00821,102040000,300000
R22-00822,22640000,60000
R22-00823,92890000,300000
R22-00824,30870000,60000
R22-00825,80610000,300000
R22-00826,90580000,300000
R22-00827,141300000,600000
R22-00828,23050000,60000
R22-00829,80950000,300000
R22-00830,72660000,300000
R22-00831,22300000,60000
R22-00832,46230000,150000
R22-00833,97320000,300000
R22-00834,7500000,20000
R22-00835,64250000,150000
R22-00836,3390000,0
R22-00837,126010000,300000
R22-00838,32620000,60000
R22-00839,52840000,150000
R22-00840,85470000,300000
R22-00841,52650000,150000
R22-00842,33390000,150000
R22-00843,51760000,150000
R22-00844,105000000,300000
R22-00845,94190000,300000
R22-00846,34820000,150000
R22-00847,42700000,150000
R22-00848,26830000,60000
R22-00849,61460000,150000
R22-00850,67130000,300000
R22-00851,740000,0
R22-00852,35090000,150000
R22-00853,73280000,300000
R22-00854,43970000,150000
R22-00855,90950000,300000
R22-00856,33780000,150000
R22-00857,31060000,60000
R22-00858,22150000,60000
R22-00859,11410000,40000
R22-00860,106560000,300000
R22-00861,26170000,60000
R22-00862,16190000,40000
R22-00863,3650000,0
R22-00864,56210000,150000
R22-00865,15200000,40000
R22-00866,55920000,150000
R22-00867,52340000,150000
R22-00868,4890000,0
R22-00869,2770000,0
R22-00870,11280000,40000
R22-00871,2530000,0
R22-00872,52390000,150000
R22-00873,10610000,40000
R22-00874,45280000,150000
R22-00875,1170000,0
R22-00876,7140000,20000
R22-00877,11850000,40000
R22-00878,74560000,300000
R22-00879,3740000,0
R22-00880,65960000,150000
R22-00881,42450000,150000
R22-00882,27610000,60000
R22-00883,11200000,40000
R22-00884,32040000,60000
R22-00885,2940000,0
R22-00886,46510000,150000
R22-00887,41480000,150000
R22-00888,102100000,300000
R22-00889,32740000,60000
R22-00890,41790000,150000
R22-00891,71730000,300000
R22-00892,32960000,60000
R22-00893,24010000,60000
R22-00894,83370000,300000
R22-00895,82590000,300000
R22-00896,22600000,60000
R22-00897,110280000,300000
R22-00898,85400000,300000
R22-00899,32430000,60000
R22-00900,41790000,150000
R22-00901,12040000,40000
R22-00902,45330000,150000
R22-00903,20730000,60000
R22-00904,141730000,600000
R22-00905,32830000,60000
R22-00906,132340000,300000
R22-00907,34430000,150000
R22-00908,26120000,60000
R22-00909,1660000,0
R22-00910,43810000,150000
R22-00911,5970000,20000
R22-00912,152450000,600000
R22-00913,25040000,60000
R22-00914,56980000,150000
R22-00915,80640000,300000
R22-00916,42810000,150000
R22-00917,96170000,300000
R22-00918,12630000,40000
R22-00919,12080000,40000
R22-00920,34630000,150000
R22-00921,22170000,60000
R22-00922,102480000,300000
R22-00923,32570000,60000
R22-00924,34150000,150000
R22-00925,63180000,150000
R22-00926,21820000,60000
R22-00927,37600000,150000
R22-00928,33120000,60000
R22-00929,75270000,300000
R22-00930,7140000,20000
R22-00931,83330000,300000
R22-00932,64100000,150000
R22-00933,28790000,60000
R22-00934,24630000,60000
R22-00935,31670000,60000
R22-00936,56960000,150000
R22-00937,3970000,0
R22-00938,41680000,150000
R22-00939,61920000,150000
R22-00940,45880000,150000
R22-00941,82090000,300000
R22-00942,53370000,150000
R22-00943,35620000,150000
R22-00944,64620000,150000
R22-00945,25150000,60000
R22-00946,103340000,300000
R22-00947,5870000,20000
R22-00948,31070000,60000
R22-00949,3260000,0
R22-00950,83290000,300000
R22-00951,42430000,150000
R22-00952,95180000,300000
R22-00953,40550000,150000
R22-00954,73520000,300000
R22-00955,6620000,20000
R22-00956,1700000,0
R22-00957,43340000,150000
R22-00958,36820000,150000
R22-00959,14450000,40000
R22-00960,18930000,40000
R22-00961,33620000,150000
R22-00962,41480000,150000
R22-00963,73870000,300000
R22-00964,2460000,0
R22-00965,6550000,20000
R22-00966,62220000,150000
R22-00967,81230000,300000
R22-00968,86070000,300000
R22-00969,43210000,150000
R22-00970,75670000,300000
R22-00971,10720000,40000
R22-00972,33500000,150000
R22-00973,28960000,60000
R22-00974,3370000,0
R22-00975,73470000,300000
R22-00976,31630000,60000
R22-00977,6390000,20000
R22-00978,45890000,150000
R22-00979,73740000,300000
R22-00980,77090000,300000
R22-00981,105400000,300000
R22-00982,62060000,150000
R22-00983,81500000,300000
R22-00984,7200000,20000
R22-00985,75620000,300000
R22-00986,61120000,150000
R22-00987,42170000,150000
R22-00988,11230000,40000
R22-00989,61210000,150000
R22-00990,84770000,300000
R22-00991,52980000,150000
R22-00992,48440000,150000
R22-00993,12770000,40000
R22-00994,124700000,300000
R22-00995,71330000,300000
R22-00996,136590000,600000
R22-00997,6390000,20000
R22-00998,23690000,60000
R22-00999,95270000,300000
R22-01000,6300000,20000
R22-01001,8720000,20000
R22-01002,15860000,40000
R22-01003,5670000,20000
R22-01004,67650000,300000
