고객ID,타사이전금액,혜택금액
R12-00000,25390000,60000
R12-00001,91870000,300000
R12-00002,35210000,150000
R12-00003,72010000,300000
R12-00004,1730000,0
R12-00005,61180000,150000
R12-00006,43280000,150000
R12-00007,4650000,0
R12-00008,12790000,40000
R12-00009,51020000,150000
R12-00010,25360000,60000
R12-00011,93280000,300000
R12-00012,53720000,150000
R12-00013,32100000,60000
R12-00014,11700000,40000
R12-00015,24470000,60000
R12-00016,5750000,20000
R12-00017,83190000,300000
R12-00018,83110000,300000
R12-00019,24910000,60000
R12-00020,47780000,150000
R12-00021,24610000,60000
R12-00022,31290000,60000
R12-00023,35540000,150000
R12-00024,1190000,0
R12-00025,42400000,150000
R12-00026,6740000,20000
R12-00027,44040000,150000
R12-00028,1930000,0
R12-00029,48080000,150000
R12-00030,115740000,300000
R12-00031,67470000,300000
R12-00032,42100000,150000
R12-00033,55810000,150000
R12-00034,82500000,300000
R12-00035,16240000,40000
R12-00036,54010000,150000
R12-00037,73450000,300000
R12-00038,42410000,150000
R12-00039,25650000,60000
R12-00040,73790000,300000
R12-00041,22620000,60000
R12-00042,154020000,600000
R12-00043,21580000,60000
R12-00044,11210000,40000
R12-00045,37220000,150000
R12-00046,65920000,150000
R12-00047,21280000,60000
R12-00048,62320000,150000
R12-00049,65400000,150000
R12-00050,8250000,20000
R12-00051,61740000,150000
R12-00052,33320000,60000
R12-00053,12090000,40000
R12-00054,22440000,60000
R12-00055,12920000,40000
R12-00056,78150000,300000
R12-00057,23000000,60000
R12-00058,17960000,40000
R12-00059,60970000,150000
R12-00060,35740000,150000
R12-00061,56880000,150000
R12-00062,78990000,300000
R12-00063,13340000,40000
R12-00064,75530000,300000
R12-00065,127630000,300000
R12-00066,34030000,150000
R12-00067,81160000,300000
R12-00068,3680000,0
R12-00069,31110000,60000
R12-00070,4180000,0
R12-00071,25520000,60000
R12-00072,123330000,300000
R12-00073,42210000,150000
R12-00074,13120000,40000
R12-00075,14680000,40000
R12-00076,5410000,20000
R12-00077,46830000,150000
R12-00078,53630000,150000
R12-00079,26760000,60000
R12-00080,101950000,300000
R12-00081,32730000,60000
R12-00082,85560000,300000
R12-00083,10690000,40000
R12-00084,55600000,150000
R12-00085,44120000,150000
R12-00086,41630000,150000
R12-00087,41570000,150000
R12-00088,110670000,300000
