고객ID,타사이전금액,혜택금액
R21-00000,53030000,150000
R21-00001,103520000,300000
R21-00002,100990000,300000
R21-00003,83710000,300000
R21-00004,22510000,60000
R21-00005,113980000,300000
R21-00006,25140000,60000
R21-00007,98860000,300000
R21-00008,24150000,60000
R21-00009,53670000,150000
R21-00010,124660000,300000
R21-00011,11510000,40000
R21-00012,54170000,150000
R21-00013,13130000,40000
R21-00014,94530000,300000
R21-00015,77120000,300000
R21-00016,52060000,150000
R21-00017,44220000,150000
R21-00018,25480000,60000
R21-00019,83130000,300000
R21-00020,15330000,40000
R21-00021,81390000,300000
R21-00022,97300000,300000
R21-00023,73120000,300000
R21-00024,24760000,60000
R21-00025,65290000,150000
R21-00026,41200000,150000
R21-00027,41690000,150000
R21-00028,32780000,60000
R21-00029,23310000,60000
R21-00030,136870000,600000
R21-00031,44670000,150000
R21-00032,43670000,150000
R21-00033,18270000,40000
R21-00034,8040000,20000
R21-00035,16480000,40000
R21-00036,88000000,300000
R21-00037,31110000,60000
R21-00038,32190000,60000
R21-00039,4250000,0
R21-00040,7070000,20000
R21-00041,67330000,300000
R21-00042,1780000,0
R21-00043,41930000,150000
R21-00044,71740000,300000
R21-00045,2660000,0
R21-00046,47220000,150000
R21-00047,54930000,150000
R21-00048,27780000,60000
R21-00049,45090000,150000
R21-00050,25360000,60000
R21-00051,67870000,300000
R21-00052,34470000,150000
R21-00053,4730000,0
R21-00054,1120000,0
R21-00055,88550000,300000
R21-00056,32480000,60000
R21-00057,14290000,40000
R21-00058,127290000,300000
R21-00059,15880000,40000
R21-00060,94820000,300000
R21-00061,34140000,150000
R21-00062,730000,0
R21-00063,63070000,150000
R21-00064,28350000,60000
R21-00065,24820000,60000
R21-00066,20450000,60000
R21-00067,141490000,600000
R21-00068,74060000,300000
R21-00069,4060000,0
R21-00070,56880000,150000
R21-00071,53970000,150000
R21-00072,4090000,0
R21-00073,52350000,150000
R21-00074,32280000,60000
R21-00075,3210000,0
R21-00076,100820000,300000
R21-00077,35110000,150000
R21-00078,45990000,150000
R21-00079,5890000,20000
R21-00080,22510000,60000
R21-00081,5250000,20000
R21-00082,5890000,20000
R21-00083,33040000,60000
R21-00084,54540000,150000
R21-00085,64970000,150000
R21-00086,54800000,150000
R21-00087,94070000,300000
R21-00088,101590000,300000
R21-00089,37230000,150000
R21-00090,4030000,0
R21-00091,1690000,0
R21-00092,22880000,60000
R21-00093,76370000,300000
R21-00094,42780000,150000
R21-00095,14120000,40000
R21-00096,74230000,300000
R21-00097,8120000,20000
R21-00098,144910000,600000
R21-00099,99730000,300000
R21-00100,62800000,150000
R21-00101,87750000,300000
R21-00102,29280000,60000
R21-00103,55500000,150000
R21-00104,29200000,60000
R21-00105,1030000,0
R21-00106,51500000,150000
R21-00107,46820000,150000
R21-00108,25340000,60000
R21-00109,37900000,150000
R21-00110,22880000,60000
R21-00111,72340000,300000
R21-00112,41550000,150000
R21-00113,26500000,60000
R21-00114,33670000,150000
R21-00115,52020000,150000
R21-00116,47760000,150000
R21-00117,36110000,150000
R21-00118,53320000,150000
R21-00119,32930000,60000
R21-00120,24310000,60000
R21-00121,86820000,300000
R21-00122,44530000,150000
R21-00123,16010000,40000
R21-00124,147210000,600000
R21-00125,4220000,0
R21-00126,14620000,40000
R21-00127,14820000,40000
R21-00128,44110000,150000
R21-00129,135350000,600000
R21-00130,6750000,20000
R21-00131,48920000,150000
R21-00132,76570000,300000
R21-00133,46980000,150000
R21-00134,11650000,40000
R21-00135,16430000,40000
R21-00136,41330000,150000
R21-00137,34860000,150000
R21-00138,23110000,60000
R21-00139,83840000,300000
R21-00140,42100000,150000
R21-00141,131000000,300000
R21-00142,57400000,150000
R21-00143,108010000,300000
R21-00144,55030000,150000
R21-00145,86490000,300000
R21-00146,62260000,150000
R21-00147,91680000,300000
R21-00148,85050000,300000
R21-00149,30350000,60000
R21-00150,73110000,300000
R21-00151,12290000,40000
R21-00152,26620000,60000
R21-00153,53860000,150000
R21-00154,86580000,300000
R21-00155,74490000,300000
R21-00156,15050000,40000
R21-00157,36900000,150000
R21-00158,66370000,150000
R21-00159,48760000,150000
R21-00160,43040000,150000
R21-00161,44660000,150000
R21-00162,34090000,150000
R21-00163,85540000,300000
R21-00164,96700000,300000
R21-00165,28310000,60000
R21-00166,32540000,60000
R21-00167,22760000,60000
R21-00168,151730000,600000
R21-00169,43600000,150000
R21-00170,3690000,0
R21-00171,73140000,300000
R21-00172,71400000,300000
R21-00173,22370000,60000
R21-00174,1720000,0
R21-00175,650000,0
R21-00176,3060000,0
R21-00177,48270000,150000
R21-00178,2020000,0
R21-00179,23660000,60000
R21-00180,75720000,300000
R21-00181,132900000,300000
R21-00182,55120000,150000
R21-00183,15990000,40000
R21-00184,59070000,150000
R21-00185,24580000,60000
R21-00186,105310000,300000
R21-00187,61810000,150000
R21-00188,33990000,150000
R21-00189,6840000,20000
R21-00190,3550000,0
