고객ID,타사이전금액,혜택금액
R14-00000,3990000,0
R14-00001,83680000,300000
R14-00002,2680000,0
R14-00003,34860000,150000
R14-00004,52550000,150000
R14-00005,13940000,40000
R14-00006,23170000,60000
R14-00007,64990000,150000
R14-00008,42290000,150000
R14-00009,25990000,60000
R14-00010,23610000,60000
R14-00011,43240000,150000
R14-00012,1550000,0
R14-00013,63580000,150000
R14-00014,93310000,300000
R14-00015,16050000,40000
R14-00016,24370000,60000
R14-00017,3000000,0
R14-00018,23310000,60000
R14-00019,24370000,60000
R14-00020,27090000,60000
R14-00021,102640000,300000
R14-00022,54440000,150000
R14-00023,36580000,150000
R14-00024,16530000,40000
R14-00025,51440000,150000
R14-00026,63300000,150000
R14-00027,52730000,150000
R14-00028,50980000,150000
R14-00029,66960000,300000
R14-00030,6130000,20000
R14-00031,66130000,150000
R14-00032,32390000,60000
R14-00033,12240000,40000
R14-00034,68120000,300000
R14-00035,82270000,300000
R14-00036,35150000,150000
R14-00037,57320000,150000
R14-00038,71750000,300000
R14-00039,21770000,60000
R14-00040,52240000,150000
R14-00041,34210000,150000
R14-00042,2430000,0
R14-00043,65760000,150000
R14-00044,25330000,60000
R14-00045,36230000,150000
R14-00046,33200000,60000
R14-00047,15240000,40000
R14-00048,18910000,40000
R14-00049,33460000,150000
R14-00050,94430000,300000
R14-00051,13400000,40000
R14-00052,3620000,0
R14-00053,32770000,60000
R14-00054,116480000,300000
R14-00055,27570000,60000
R14-00056,480000,0
R14-00057,42540000,150000
R14-00058,4660000,0
R14-00059,59500000,150000
R14-00060,15240000,40000
R14-00061,22880000,60000
R14-00062,4070000,0
R14-00063,53960000,150000
R14-00064,81970000,300000
R14-00065,2050000,0
R14-00066,710000,0
R14-00067,31780000,60000
R14-00068,31820000,60000
R14-00069,94010000,300000
R14-00070,14020000,40000
R14-00071,61100000,150000
R14-00072,2340000,0
R14-00073,12330000,40000
R14-00074,6250000,20000
R14-00075,98050000,300000
R14-00076,45300000,150000
R14-00077,24140000,60000
R14-00078,6660000,20000
R14-00079,62310000,150000
R14-00080,30180000,60000
R14-00081,66580000,150000
R14-00082,77390000,300000
R14-00083,1300000,0
R14-00084,740000,0
R14-00085,6510000,20000
R14-00086,15940000,40000
R14-00087,34970000,150000
R14-00088,41660000,150000
R14-00089,75700000,300000
R14-00090,22990000,60000
R14-00091,42260000,150000
R14-00092,120550000,300000
R14-00093,92210000,300000
R14-00094,12690000,40000
R14-00095,36760000,150000
R14-00096,24400000,60000
R14-00097,24980000,60000
R14-00098,53260000,150000
R14-00099,12620000,40000
R14-00100,3610000,0
R14-00101,3850000,0
R14-00102,122840000,300000
R14-00103,5610000,20000
R14-00104,26280000,60000
R14-00105,73760000,300000
R14-00106,4240000,0
R14-00107,151860000,600000
R14-00108,35500000,150000
R14-00109,32820000,60000
